Date,Heure,Station,Nb_validations
20190116,8,Outremont,896
20190116,8,Papineau,1210
20190116,8,Parc,1401
20190116,8,Peel,370
20190116,8,Pie-IX,2590
20190116,8,Place-Saint-Henri,1352
20190116,8,Place-d'Armes,275
20190116,8,Place-des-Arts,943
20190116,8,Plamondon,1805
20190116,8,Préfontaine,1181
20190116,8,Radisson,1679
20190116,8,Rosemont,1765
20190116,8,Saint-Laurent,247
20190116,8,Saint-Michel,2213
20190116,8,Sauvé,1943
20190116,8,Sherbrooke,1660
20190116,8,Snowdon,2167
20190116,8,Square-Victoria,598
20190116,8,Université-de-Montréal,288
20190116,8,Vendôme,4198
20190116,8,Verdun,1290
20190116,8,Viau,1364
20190116,8,Villa-Maria,2062
20190116,8,Édouard-Montpetit,211
20190116,9,Acadie,241
20190116,9,Angrignon,1049
20190116,9,Assomption,247
20190116,9,Atwater,868
20190116,9,Beaubien,989
20190116,9,Berri-UQAM,1230
20190116,9,Bonaventure,1575
20190116,9,Cadillac,582
20190116,9,Cartier,549
20190116,9,Champ-de-Mars,374
20190116,9,Charlevoix,470
20190116,9,Crémazie,661
20190116,9,Côte-Sainte-Catherine,509
20190116,9,Côte-Vertu,1792
20190116,9,Côte-des-Neiges,477
20190116,9,D'Iberville,393
20190116,9,De Castelnau,266
20190116,9,De l'Église,716
20190116,9,De la Concorde,446
20190116,9,De la Savane,127
20190116,9,Du Collège,466
20190116,9,Fabre,671
20190116,9,Frontenac,714
20190116,9,Georges-Vanier,229
20190116,9,Guy-Concordia,1076
20190116,9,Henri-Bourassa,1097
20190116,9,Honoré-Beaugrand,1052
20190116,9,Jarry,882
20190116,9,Jean-Drapeau,22
20190116,9,Jean-Talon,1083
20190116,9,Jolicoeur,573
20190116,9,Joliette,962
20190116,9,LaSalle,358
20190116,9,Langelier,544
20190116,9,Laurier,1283
20190116,9,Lionel-Groulx,1058
20190116,9,Longueuil,2194
20190116,9,Lucien-L'Allier,287
20190116,9,McGill,533
20190116,9,Monk,428
20190116,9,Mont-Royal,1126
20190116,9,Montmorency,1013
20190116,9,Namur,351
20190116,9,Outremont,288
20190116,9,Papineau,829
20190116,9,Parc,483
20190116,9,Peel,358
20190116,9,Pie-IX,1103
20190116,9,Place-Saint-Henri,570
20190116,9,Place-d'Armes,280
20190116,9,Place-des-Arts,682
20190116,9,Plamondon,864
20190116,9,Préfontaine,502
20190116,9,Radisson,720
20190116,9,Rosemont,866
20190116,9,Saint-Laurent,184
20190116,9,Saint-Michel,1061
20190116,9,Sauvé,881
20190116,9,Sherbrooke,891
20190116,9,Snowdon,961
20190116,9,Square-Victoria,415
20190116,9,Université-de-Montréal,183
20190116,9,Vendôme,1873
20190116,9,Verdun,487
20190116,9,Viau,610
20190116,9,Villa-Maria,845
20190116,9,Édouard-Montpetit,142
20190116,10,Acadie,180
20190116,10,Angrignon,734
20190116,10,Assomption,171
20190116,10,Atwater,759
20190116,10,Beaubien,503
20190116,10,Berri-UQAM,860
20190116,10,Bonaventure,646
20190116,10,Cadillac,327
20190116,10,Cartier,324
20190116,10,Champ-de-Mars,375
20190116,10,Charlevoix,282
20190116,10,Crémazie,370
20190116,10,Côte-Sainte-Catherine,317
20190116,10,Côte-Vertu,1197
20190116,10,Côte-des-Neiges,489
20190116,10,D'Iberville,194
20190116,10,De Castelnau,181
20190116,10,De l'Église,433
20190116,10,De la Concorde,148
20190116,10,De la Savane,100
20190116,10,Du Collège,315
20190116,10,Fabre,361
20190116,10,Frontenac,393
20190116,10,Georges-Vanier,153
20190116,10,Guy-Concordia,1046
20190116,10,Henri-Bourassa,730
20190116,10,Honoré-Beaugrand,659
20190116,10,Jarry,409
20190116,10,Jean-Drapeau,17
20190116,10,Jean-Talon,622
20190116,10,Jolicoeur,289
20190116,10,Joliette,417
20190116,10,LaSalle,187
20190116,10,Langelier,326
20190116,10,Laurier,580
20190116,10,Lionel-Groulx,721
20190116,10,Longueuil,956
20190116,10,Lucien-L'Allier,121
20190116,10,McGill,687
20190116,10,Monk,225
20190116,10,Mont-Royal,537
20190116,10,Montmorency,694
20190116,10,Namur,226
20190116,10,Outremont,163
20190116,10,Papineau,365
20190116,10,Parc,343
20190116,10,Peel,435
20190116,10,Pie-IX,643
20190116,10,Place-Saint-Henri,343
20190116,10,Place-d'Armes,290
20190116,10,Place-des-Arts,586
20190116,10,Plamondon,526
20190116,10,Préfontaine,293
20190116,10,Radisson,425
20190116,10,Rosemont,457
20190116,10,Saint-Laurent,132
20190116,10,Saint-Michel,667
20190116,10,Sauvé,544
20190116,10,Sherbrooke,533
20190116,10,Snowdon,514
20190116,10,Square-Victoria,333
20190116,10,Université-de-Montréal,351
20190116,10,Vendôme,1034
20190116,10,Verdun,224
20190116,10,Viau,337
20190116,10,Villa-Maria,388
20190116,10,Édouard-Montpetit,142
20190116,11,Acadie,186
20190116,11,Angrignon,675
20190116,11,Assomption,246
20190116,11,Atwater,932
20190116,11,Beaubien,530
20190116,11,Berri-UQAM,1404
20190116,11,Bonaventure,852
20190116,11,Cadillac,435
20190116,11,Cartier,307
20190116,11,Champ-de-Mars,421
20190116,11,Charlevoix,193
20190116,11,Crémazie,429
20190116,11,Côte-Sainte-Catherine,322
20190116,11,Côte-Vertu,1078
20190116,11,Côte-des-Neiges,1114
20190116,11,D'Iberville,190
20190116,11,De Castelnau,233
20190116,11,De l'Église,423
20190116,11,De la Concorde,217
20190116,11,De la Savane,93
20190116,11,Du Collège,297
20190116,11,Fabre,355
20190116,11,Frontenac,359
20190116,11,Georges-Vanier,126
20190116,11,Guy-Concordia,1536
20190116,11,Henri-Bourassa,793
20190116,11,Honoré-Beaugrand,706
20190116,11,Jarry,422
20190116,11,Jean-Drapeau,20
20190116,11,Jean-Talon,597
20190116,11,Jolicoeur,323
20190116,11,Joliette,405
20190116,11,LaSalle,184
20190116,11,Langelier,388
20190116,11,Laurier,552
20190116,11,Lionel-Groulx,753
20190116,11,Longueuil,1005
20190116,11,Lucien-L'Allier,150
20190116,11,McGill,1166
20190116,11,Monk,247
20190116,11,Mont-Royal,626
20190116,11,Montmorency,803
20190116,11,Namur,224
20190116,11,Outremont,317
20190116,11,Papineau,396
20190116,11,Parc,528
20190116,11,Peel,803
20190116,11,Pie-IX,740
20190116,11,Place-Saint-Henri,473
20190116,11,Place-d'Armes,464
20190116,11,Place-des-Arts,960
20190116,11,Plamondon,508
20190116,11,Préfontaine,309
20190116,11,Radisson,427
20190116,11,Rosemont,442
20190116,11,Saint-Laurent,167
20190116,11,Saint-Michel,681
20190116,11,Sauvé,586
20190116,11,Sherbrooke,611
20190116,11,Snowdon,567
20190116,11,Square-Victoria,456
20190116,11,Université-de-Montréal,1365
20190116,11,Vendôme,973
20190116,11,Verdun,221
20190116,11,Viau,328
20190116,11,Villa-Maria,412
20190116,11,Édouard-Montpetit,621
20190116,12,Acadie,192
20190116,12,Angrignon,694
20190116,12,Assomption,338
20190116,12,Atwater,1168
20190116,12,Beaubien,556
20190116,12,Berri-UQAM,3593
20190116,12,Bonaventure,1122
20190116,12,Cadillac,484
20190116,12,Cartier,351
20190116,12,Champ-de-Mars,515
20190116,12,Charlevoix,251
20190116,12,Crémazie,501
20190116,12,Côte-Sainte-Catherine,355
20190116,12,Côte-Vertu,1316
20190116,12,Côte-des-Neiges,958
20190116,12,D'Iberville,285
20190116,12,De Castelnau,260
20190116,12,De l'Église,465
20190116,12,De la Concorde,184
20190116,12,De la Savane,126
20190116,12,Du Collège,310
20190116,12,Fabre,469
20190116,12,Frontenac,591
20190116,12,Georges-Vanier,145
20190116,12,Guy-Concordia,1645
20190116,12,Henri-Bourassa,866
20190116,12,Honoré-Beaugrand,745
20190116,12,Jarry,494
20190116,12,Jean-Drapeau,38
20190116,12,Jean-Talon,804
20190116,12,Jolicoeur,300
20190116,12,Joliette,448
20190116,12,LaSalle,201
20190116,12,Langelier,396
20190116,12,Laurier,726
20190116,12,Lionel-Groulx,825
20190116,12,Longueuil,1119
20190116,12,Lucien-L'Allier,252
20190116,12,McGill,1601
20190116,12,Monk,203
20190116,12,Mont-Royal,699
20190116,12,Montmorency,806
20190116,12,Namur,272
20190116,12,Outremont,324
20190116,12,Papineau,465
20190116,12,Parc,516
20190116,12,Peel,1159
20190116,12,Pie-IX,745
20190116,12,Place-Saint-Henri,575
20190116,12,Place-d'Armes,815
20190116,12,Place-des-Arts,1950
20190116,12,Plamondon,523
20190116,12,Préfontaine,251
20190116,12,Radisson,552
20190116,12,Rosemont,517
20190116,12,Saint-Laurent,304
20190116,12,Saint-Michel,859
20190116,12,Sauvé,591
20190116,12,Sherbrooke,822
20190116,12,Snowdon,657
20190116,12,Square-Victoria,657
20190116,12,Université-de-Montréal,839
20190116,12,Vendôme,1217
20190116,12,Verdun,242
20190116,12,Viau,386
20190116,12,Villa-Maria,478
20190116,12,Édouard-Montpetit,451
20190116,13,Acadie,195
20190116,13,Angrignon,685
20190116,13,Assomption,145
20190116,13,Atwater,1261
20190116,13,Beaubien,599
20190116,13,Berri-UQAM,2272
20190116,13,Bonaventure,974
20190116,13,Cadillac,417
20190116,13,Cartier,312
20190116,13,Champ-de-Mars,417
20190116,13,Charlevoix,240
20190116,13,Crémazie,469
20190116,13,Côte-Sainte-Catherine,328
20190116,13,Côte-Vertu,1019
20190116,13,Côte-des-Neiges,736
20190116,13,D'Iberville,196
20190116,13,De Castelnau,201
20190116,13,De l'Église,470
20190116,13,De la Concorde,161
20190116,13,De la Savane,124
20190116,13,Du Collège,364
20190116,13,Fabre,343
20190116,13,Frontenac,410
20190116,13,Georges-Vanier,128
20190116,13,Guy-Concordia,2002
20190116,13,Henri-Bourassa,821
20190116,13,Honoré-Beaugrand,670
20190116,13,Jarry,507
20190116,13,Jean-Drapeau,51
20190116,13,Jean-Talon,773
20190116,13,Jolicoeur,348
20190116,13,Joliette,459
20190116,13,LaSalle,185
20190116,13,Langelier,412
20190116,13,Laurier,707
20190116,13,Lionel-Groulx,713
20190116,13,Longueuil,1026
20190116,13,Lucien-L'Allier,205
20190116,13,McGill,1952
20190116,13,Monk,211
20190116,13,Mont-Royal,760
20190116,13,Montmorency,673
20190116,13,Namur,342
20190116,13,Outremont,231
20190116,13,Papineau,487
20190116,13,Parc,435
20190116,13,Peel,1246
20190116,13,Pie-IX,698
20190116,13,Place-Saint-Henri,404
20190116,13,Place-d'Armes,716
20190116,13,Place-des-Arts,1322
20190116,13,Plamondon,599
20190116,13,Préfontaine,225
20190116,13,Radisson,556
20190116,13,Rosemont,445
20190116,13,Saint-Laurent,288
20190116,13,Saint-Michel,608
20190116,13,Sauvé,574
20190116,13,Sherbrooke,756
20190116,13,Snowdon,633
20190116,13,Square-Victoria,622
20190116,13,Université-de-Montréal,528
20190116,13,Vendôme,968
20190116,13,Verdun,266
20190116,13,Viau,291
20190116,13,Villa-Maria,575
20190116,13,Édouard-Montpetit,292
20190116,14,Acadie,226
20190116,14,Angrignon,627
20190116,14,Assomption,228
20190116,14,Atwater,1474
20190116,14,Beaubien,519
20190116,14,Berri-UQAM,2247
20190116,14,Bonaventure,1084
20190116,14,Cadillac,368
20190116,14,Cartier,255
20190116,14,Champ-de-Mars,670
20190116,14,Charlevoix,277
20190116,14,Crémazie,604
20190116,14,Côte-Sainte-Catherine,364
20190116,14,Côte-Vertu,1149
20190116,14,Côte-des-Neiges,781
20190116,14,D'Iberville,228
20190116,14,De Castelnau,258
20190116,14,De l'Église,419
20190116,14,De la Concorde,114
20190116,14,De la Savane,156
20190116,14,Du Collège,416
20190116,14,Fabre,343
20190116,14,Frontenac,452
20190116,14,Georges-Vanier,155
20190116,14,Guy-Concordia,2358
20190116,14,Henri-Bourassa,763
20190116,14,Honoré-Beaugrand,757
20190116,14,Jarry,469
20190116,14,Jean-Drapeau,75
20190116,14,Jean-Talon,716
20190116,14,Jolicoeur,319
20190116,14,Joliette,380
20190116,14,LaSalle,186
20190116,14,Langelier,432
20190116,14,Laurier,615
20190116,14,Lionel-Groulx,727
20190116,14,Longueuil,761
20190116,14,Lucien-L'Allier,289
20190116,14,McGill,2196
20190116,14,Monk,237
20190116,14,Mont-Royal,718
20190116,14,Montmorency,595
20190116,14,Namur,351
20190116,14,Outremont,231
20190116,14,Papineau,463
20190116,14,Parc,438
20190116,14,Peel,1431
20190116,14,Pie-IX,632
20190116,14,Place-Saint-Henri,326
20190116,14,Place-d'Armes,993
20190116,14,Place-des-Arts,1254
20190116,14,Plamondon,659
20190116,14,Préfontaine,238
20190116,14,Radisson,447
20190116,14,Rosemont,388
20190116,14,Saint-Laurent,337
20190116,14,Saint-Michel,702
20190116,14,Sauvé,514
20190116,14,Sherbrooke,702
20190116,14,Snowdon,676
20190116,14,Square-Victoria,823
20190116,14,Université-de-Montréal,955
20190116,14,Vendôme,1242
20190116,14,Verdun,185
20190116,14,Viau,343
20190116,14,Villa-Maria,454
20190116,14,Édouard-Montpetit,302
20190116,15,Acadie,284
20190116,15,Angrignon,890
20190116,15,Assomption,582
20190116,15,Atwater,2382
20190116,15,Beaubien,622
20190116,15,Berri-UQAM,3305
20190116,15,Bonaventure,1884
20190116,15,Cadillac,629
20190116,15,Cartier,331
20190116,15,Champ-de-Mars,1649
20190116,15,Charlevoix,576
20190116,15,Crémazie,1223
20190116,15,Côte-Sainte-Catherine,696
20190116,15,Côte-Vertu,1791
20190116,15,Côte-des-Neiges,1760
20190116,15,D'Iberville,215
20190116,15,De Castelnau,376
20190116,15,De l'Église,616
20190116,15,De la Concorde,123
20190116,15,De la Savane,696
20190116,15,Du Collège,787
20190116,15,Fabre,442
20190116,15,Frontenac,755
20190116,15,Georges-Vanier,218
20190116,15,Guy-Concordia,3008
20190116,15,Henri-Bourassa,1277
20190116,15,Honoré-Beaugrand,748
20190116,15,Jarry,910
20190116,15,Jean-Drapeau,100
20190116,15,Jean-Talon,950
20190116,15,Jolicoeur,438
20190116,15,Joliette,513
20190116,15,LaSalle,466
20190116,15,Langelier,827
20190116,15,Laurier,1206
20190116,15,Lionel-Groulx,1030
20190116,15,Longueuil,909
20190116,15,Lucien-L'Allier,483
20190116,15,McGill,3636
20190116,15,Monk,289
20190116,15,Mont-Royal,940
20190116,15,Montmorency,701
20190116,15,Namur,758
20190116,15,Outremont,759
20190116,15,Papineau,674
20190116,15,Parc,734
20190116,15,Peel,2013
20190116,15,Pie-IX,1000
20190116,15,Place-Saint-Henri,1312
20190116,15,Place-d'Armes,2056
20190116,15,Place-des-Arts,2222
20190116,15,Plamondon,927
20190116,15,Préfontaine,329
20190116,15,Radisson,619
20190116,15,Rosemont,861
20190116,15,Saint-Laurent,549
20190116,15,Saint-Michel,1273
20190116,15,Sauvé,879
20190116,15,Sherbrooke,1115
20190116,15,Snowdon,1043
20190116,15,Square-Victoria,1972
20190116,15,Université-de-Montréal,2555
20190116,15,Vendôme,1968
20190116,15,Verdun,261
20190116,15,Viau,499
20190116,15,Villa-Maria,1668
20190116,15,Édouard-Montpetit,1415
20190116,16,Acadie,379
20190116,16,Angrignon,810
20190116,16,Assomption,570
20190116,16,Atwater,2704
20190116,16,Beaubien,923
20190116,16,Berri-UQAM,6668
20190116,16,Bonaventure,4350
20190116,16,Cadillac,433
20190116,16,Cartier,440
20190116,16,Champ-de-Mars,2575
20190116,16,Charlevoix,632
20190116,16,Crémazie,1849
20190116,16,Côte-Sainte-Catherine,854
20190116,16,Côte-Vertu,2317
20190116,16,Côte-des-Neiges,2759
20190116,16,D'Iberville,276
20190116,16,De Castelnau,552
20190116,16,De l'Église,724
20190116,16,De la Concorde,193
20190116,16,De la Savane,548
20190116,16,Du Collège,1356
20190116,16,Fabre,482
20190116,16,Frontenac,631
20190116,16,Georges-Vanier,255
20190116,16,Guy-Concordia,3735
20190116,16,Henri-Bourassa,1330
20190116,16,Honoré-Beaugrand,963
20190116,16,Jarry,728
20190116,16,Jean-Drapeau,131
20190116,16,Jean-Talon,1321
20190116,16,Jolicoeur,497
20190116,16,Joliette,517
20190116,16,LaSalle,363
20190116,16,Langelier,616
20190116,16,Laurier,1399
20190116,16,Lionel-Groulx,1316
20190116,16,Longueuil,1553
20190116,16,Lucien-L'Allier,988
20190116,16,McGill,7558
20190116,16,Monk,269
20190116,16,Mont-Royal,1240
20190116,16,Montmorency,934
20190116,16,Namur,1129
20190116,16,Outremont,591
20190116,16,Papineau,1137
20190116,16,Parc,1171
20190116,16,Peel,3853
20190116,16,Pie-IX,1264
20190116,16,Place-Saint-Henri,760
20190116,16,Place-d'Armes,4344
20190116,16,Place-des-Arts,4701
20190116,16,Plamondon,861
20190116,16,Préfontaine,850
20190116,16,Radisson,958
20190116,16,Rosemont,1236
20190116,16,Saint-Laurent,889
20190116,16,Saint-Michel,1130
20190116,16,Sauvé,1008
20190116,16,Sherbrooke,1550
20190116,16,Snowdon,1391
20190116,16,Square-Victoria,5739
20190116,16,Université-de-Montréal,2711
20190116,16,Vendôme,2181
20190116,16,Verdun,277
20190116,16,Viau,648
20190116,16,Villa-Maria,691
20190116,16,Édouard-Montpetit,1147
20190116,17,Acadie,336
